问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,257,16,M:System.Windows.UIElement.InvalidateVisual,,,,,SkViewer.InvalidateVisual();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,256,16,T:System.Windows.DependencyProperty,,,,,"SetValue(QrBitmapProperty, value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,256,16,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(QrBitmapProperty, value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,252,16,T:System.Windows.DependencyProperty,,,,,return (SKBitmap)GetValue(QrBitmapProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,252,16,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (SKBitmap)GetValue(QrBitmapProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,245,41,T:System.Windows.DependencyProperty,,,,,"QrBitmapProperty = DependencyProperty.Register(nameof(QrBitmap), typeof(SKBitmap), typeof(QRWindow))"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,242,50,T:System.Windows.DependencyProperty,,,,,"IsCanDisConnectProperty =             DependencyProperty.Register(nameof(IsCanDisConnect), typeof(bool), typeof(QRWindow), new PropertyMetadata(false))"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,239,50,T:System.Windows.DependencyProperty,,,,,"IsCanConnectProperty =              DependencyProperty.Register(nameof(IsCanConnect), typeof(bool), typeof(QRWindow), new PropertyMetadata(true))"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,235,28,T:System.Windows.DependencyProperty,,,,,IsCanDisConnectProperty
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,235,19,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(IsCanDisConnectProperty, value)"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,233,16,T:System.Windows.DependencyProperty,,,,,return (bool)GetValue(IsCanDisConnectProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,233,16,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (bool)GetValue(IsCanDisConnectProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,226,57,T:System.Windows.DependencyProperty,,,,,"SetValue(IsCanDisConnectProperty, !value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,226,57,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(IsCanDisConnectProperty, !value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,226,18,T:System.Windows.DependencyProperty,,,,,"SetValue(IsCanConnectProperty, value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,226,18,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(IsCanConnectProperty, value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\QRWindow.xaml.cs,225,18,T:System.Windows.DependencyProperty,,,,,return (bool)GetValue(IsCanConnectProperty);
